# Format:
# craft_tag|tag_description
aug_attack_lucky|Augment an item with a new Attack modifier with Lucky values
aug_attack|Augment an item with a new Attack modifier
aug_caster_lucky|Augment a Magic or Rare item with a new Caster modifier with Lucky values
aug_caster|Augment a Magic or Rare item with a new Caster modifier
aug_chaos_lucky|Augment an item with a new Chaos modifier with Lucky values
aug_chaos|Augment an item with a new Chaos modifier
aug_cold_lucky|Augment an item with a new Cold modifier with Lucky values
aug_cold|Augment an item with a new Cold modifier
aug_critical_lucky|Augment an item with a new Critical modifier with lucky values
aug_critical|Augment an item with a new Critical modifier
aug_defence_lucky|Augment an item with a new Defence modifier with Lucky values
aug_defence|Augment an item with a new Defence modifier
aug_fire_lucky|Augment a Magic or Rare item with a new Fire modifier with Lucky values
aug_fire|Augment a Magic or Rare item with a new Fire modifier
aug_influence|Augment an item with a new Influence modifier
aug_life_lucky|Augment an item with a new Life modifier with Lucky values
aug_life|Augment an item with a new Life modifier
aug_lightning_lucky|Augment an item with a new Lightning modifier with Lucky values
aug_lightning|Augment an item with a new Lightning modifier
aug_physical_lucky|Augment a Magic or Rare item with a new Physical modifier with Lucky values
aug_physical|Augment a Magic or Rare item with a new Physical modifier
aug_random_lucky|Augment a Rare item with a new modifier, with Lucky modifier values
aug_speed|Augment an item with a new Speed modifier
cards_gamble|Sacrifice up to half a stack of Divination Cards to receive between 0 and twice that amount of the same Card
change_cold_fire|Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Fire Resistance
change_cold_lightning|Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Lightning Resistance
change_fire_cold|Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Cold Resistance
change_fire_lightning|Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Lightning Resistance
change_harbringer|Change a Harbinger Unique or Unique Piece into a random Beachhead Map
change_lightning_cold|Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Cold Resistance
change_lightning_fire|Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Fire Resistance
enchant_body_cold|Enchant Body Armour. Quality does not increase its Defences, grants 1% Cold Resistance per 2% quality
enchant_body_fire|Enchant Body Armour. Quality does not increase its Defences, grants 1% Fire Resistance per 2% quality
enchant_body_life|Enchant Body Armour. Quality does not increase its Defences, grants +1 Maximum Life per 2% quality
